ID,policy_ID,claimNumber,incidentDate,reportedDate,description,location,status,severity,estimatedAmount,approvedAmount,paidAmount,currency_code,approvalDate,paymentDate,closureDate,adjusterName,adjusterNotes,createdAt,createdBy,modifiedAt,modifiedBy
cl0001,24970010-0c93-40c9-bc9c-17ec1dbf7943,SIN-2024-001,2024-06-15,2024-06-15T14:00:00Z,Colisao traseira Av. Paulista chuva. Dano para-choque e lataria.,Av. Paulista 1000 SP,APPROVED,HIGH,18000.00,15000.00,15000.00,BRL,2024-07-10,,,Maria Santos,Aprovado laudo pericial.,2024-06-15T14:00:00Z,admin,2024-07-10T10:00:00Z,admin
cl0002,24970010-0c93-40c9-bc9c-17ec1dbf7943,SIN-2024-002,2024-09-20,2024-09-20T09:00:00Z,Vidro traseiro quebrado por pedra na estrada.,Rod. Anhanguera km 50,PAID,LOW,800.00,750.00,750.00,BRL,2024-09-25,2024-10-01,,Joao Pereira,Franquia nao aplicavel.,2024-09-20T09:00:00Z,admin,2024-10-01T10:00:00Z,admin
cl0003,24970011-1dc0-4015-9aa8-6de1f7777e5c,SIN-2024-003,2024-07-10,2024-07-10T16:00:00Z,Alagamento subsolo edificio danou estrutura e revestimentos.,Rua das Flores 100 SP,UNDER_REVIEW,HIGH,45000.00,,,BRL,,,,Carlos Almeida,Aguardando laudo engenharia.,2024-07-10T16:00:00Z,admin,2024-07-15T10:00:00Z,admin
cl0004,24970012-380f-4fff-adc3-a6a4c1f362a2,SIN-2024-004,2024-08-05,2024-08-05T11:00:00Z,Roubo veiculo estacionamento. BO registrado.,Shopping Center Norte SP,SUBMITTED,CRITICAL,120000.00,,,BRL,,,,,,2024-08-05T11:00:00Z,admin,2024-08-05T11:00:00Z,admin
cl0005,24970014-b7a4-4f9d-bf89-c53130bd3bb7,SIN-2024-005,2024-08-20,2024-08-20T08:30:00Z,Colisao lateral saindo vaga garagem.,Rua Augusta 200 SP,APPROVED,MEDIUM,8500.00,7000.00,,BRL,2024-09-01,,,Ana Lima,Aprovado com franquia.,2024-08-20T08:30:00Z,admin,2024-09-01T10:00:00Z,admin
cl0006,24970015-87ee-4120-937c-cb6f8a3c845a,SIN-2024-006,2024-07-25,2024-07-25T19:00:00Z,Furto arrombamento janela. TV e notebook subtraidos.,Av. das Palmeiras 500 CWB,PAID,MEDIUM,12000.00,10000.00,10000.00,BRL,2024-08-10,2024-08-20,,Roberto Cruz,BO apresentado. Confirmados.,2024-07-25T19:00:00Z,admin,2024-08-20T10:00:00Z,admin
cl0007,24970016-ba9d-430b-85e2-e467390fc30b,SIN-2024-007,2024-09-01,2024-09-01T12:00:00Z,Incendio cozinha restaurante por curto-circuito.,Rua do Comercio 123 BSB,UNDER_REVIEW,CRITICAL,250000.00,,,BRL,,,,Felipe Araujo,Pericia em andamento.,2024-09-01T12:00:00Z,admin,2024-09-05T10:00:00Z,admin
cl0008,24970010-0c93-40c9-bc9c-17ec1dbf7943,SIN-2024-008,2024-10-10,2024-10-10T15:00:00Z,Dano farol parachoque por animal na estrada.,BR-116 km 120,SUBMITTED,LOW,3500.00,,,BRL,,,,,,2024-10-10T15:00:00Z,admin,2024-10-10T15:00:00Z,admin
cl0009,24970009-c6cd-4a31-a278-423e2e34a59e,SIN-2024-009,2024-09-15,2024-09-15T10:00:00Z,Sinistro morte acidental. Beneficiaria registrou pedido.,,UNDER_REVIEW,CRITICAL,500000.00,,,BRL,,,,Claudia Torres,Documentacao recebida. Analise juridica.,2024-09-15T10:00:00Z,admin,2024-09-20T10:00:00Z,admin
cl0010,24970013-0c14-446f-a1e5-f4b51ac4f8ca,SIN-2024-010,2024-10-01,2024-10-01T08:00:00Z,Internacao emergencia cirurgia apendicite.,Hospital Albert Einstein SP,APPROVED,HIGH,35000.00,32000.00,,BRL,2024-10-15,,,Dr. Paulo Mendes,Cobertura confirmada.,2024-10-01T08:00:00Z,admin,2024-10-15T10:00:00Z,admin
cl0011,24970012-380f-4fff-adc3-a6a4c1f362a2,SIN-2024-011,2024-10-20,2024-10-20T16:00:00Z,Pneu furado colisao com guardrail.,Rodovia Dutra km 180,SUBMITTED,MEDIUM,22000.00,,,BRL,,,,,,2024-10-20T16:00:00Z,admin,2024-10-20T16:00:00Z,admin
cl0012,24970011-1dc0-4015-9aa8-6de1f7777e5c,SIN-2024-012,2024-10-22,2024-10-22T11:00:00Z,Vazamento tubulacao agua danou piso e paredes.,Rua das Flores 100 SP,UNDER_REVIEW,MEDIUM,18000.00,,,BRL,,,,Carlos Almeida,Laudo de dano solicitado.,2024-10-22T11:00:00Z,admin,2024-10-25T10:00:00Z,admin
cl0013,24970014-b7a4-4f9d-bf89-c53130bd3bb7,SIN-2024-013,2024-10-25,2024-10-25T07:30:00Z,Abalroamento semaforo vermelho. Airbag acionado.,Av. Brasil 300 CWB,REJECTED,HIGH,75000.00,,,BRL,,,2024-11-05,Ana Lima,Adulteracao hodometro. Recusado fraude.,2024-10-25T07:30:00Z,admin,2024-11-05T10:00:00Z,admin
cl0014,24970015-87ee-4120-937c-cb6f8a3c845a,SIN-2024-014,2024-11-01,2024-11-01T20:00:00Z,Queda arvore telhado durante tempestade.,Av. das Palmeiras 500 CWB,SUBMITTED,HIGH,55000.00,,,BRL,,,,,,2024-11-01T20:00:00Z,admin,2024-11-01T20:00:00Z,admin
cl0015,24970010-0c93-40c9-bc9c-17ec1dbf7943,SIN-2024-015,2024-11-05,2024-11-05T13:00:00Z,Risco lataria esquerda por objeto cortante no estacionamento.,Shopping Eldorado SP,SUBMITTED,LOW,4200.00,,,BRL,,,,,,2024-11-05T13:00:00Z,admin,2024-11-05T13:00:00Z,admin
